cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag
12927,BOEING CO,598239585.0,0000012927-23-000007,2023-01-20,,,,,,2022,EntityCommonStockSharesOutstanding
12927,BOEING CO,610135205.0,0000012927-24-000010,2024-01-24,,,,,,2023,EntityCommonStockSharesOutstanding
12927,BOEING CO,750074411.0,0000012927-25-000015,2025-01-27,,,,,,2024,EntityCommonStockSharesOutstanding
12927,BOEING CO,785347096.0,0001628280-26-004357,2026-01-23,,,,,,2025,EntityCommonStockSharesOutstanding
12927,THE BOEING COMPANY,790370020.0,0001628280-26-050038,2026-07-21,,,,,,2026,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,1669459090.0,0000014272-16-000288,2016-02-01,,,,,,2015,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,1672715340.0,0000014272-17-000047,2017-02-01,,,,,,2016,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,1632582502.0,0000014272-18-000055,2018-02-01,,,,,,2017,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,1632675877.0,0000014272-19-000047,2019-02-01,,,,,,2018,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2257510796.0,0000014272-20-000082,2020-02-03,,,,,,2019,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2240475153.0,0000014272-21-000066,2021-02-01,,,,,,2020,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2179712820.0,0000014272-22-000051,2022-02-01,,,,,,2021,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2098775978.0,0000014272-23-000046,2023-02-07,,,,,,2022,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2022193411.0,0000014272-24-000044,2024-02-06,,,,,,2023,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2029312023.0,0000014272-25-000039,2025-02-06,,,,,,2024,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2036473705.0,0000014272-26-000004,2026-02-04,,,,,,2025,EntityCommonStockSharesOutstanding
14272,BRISTOL-MYERS SQUIBB COMPANY,2042714656.0,0000014272-26-000020,2026-07-22,,,,,,2026,EntityCommonStockSharesOutstanding
18230,CATERPILLAR INC,582321890.0,0000018230-16-000533,2015-12-31,,,,,,2015,EntityCommonStockSharesOutstanding
18230,CATERPILLAR INC,586486024.0,0000018230-17-000041,2016-12-31,,,,,,2016,EntityCommonStockSharesOutstanding
18230,CATERPILLAR INC,597625772.0,0000018230-18-000042,2017-12-31,,,,,,2017,EntityCommonStockSharesOutstanding
18230,CATERPILLAR INC,575542738.0,0000018230-19-000034,2018-12-31,,,,,,2018,EntityCommonStockSharesOutstanding
18230,CATERPILLAR INC,550082610.0,0000018230-20-000056,2019-12-31,,,,,,2019,EntityCommonStockSharesOutstanding
