ticker,date,ratio
GILD,2004-09-07 09:30:00,2.0
GILD,2007-06-25 09:30:00,2.0
GILD,2013-01-28 09:30:00,2.0
GIS,1986-11-10 09:30:00,2.0
GIS,1990-11-08 09:30:00,2.0
GIS,1995-05-30 09:30:00,1.2099213551119177
GIS,1999-11-09 09:30:00,2.0
GIS,2010-06-09 09:30:00,2.0
GL,1992-08-20 09:30:00,1.5
GL,1997-08-04 09:30:00,2.0
GL,2011-07-05 09:30:00,1.5
GL,2014-07-02 09:30:00,1.5
GLW,1985-02-13 09:30:00,2.0
GLW,1989-02-15 09:30:00,2.0
GLW,1992-02-11 09:30:00,2.0
GLW,2000-10-04 09:30:00,3.0
GOOG,2014-03-27 09:30:00,2.002
GOOG,2015-04-27 09:30:00,1.0027455
GOOG,2022-07-18 09:30:00,20.0
GOOGL,2014-04-03 09:30:00,1.998
GOOGL,2022-07-18 09:30:00,20.0
GPC,1984-04-10 09:30:00,1.5
GPC,1987-05-28 09:30:00,1.5
GPC,1992-04-20 09:30:00,1.5
GPC,1997-04-15 09:30:00,1.5
GPN,2005-10-31 09:30:00,2.0
GPN,2015-11-03 09:30:00,2.0
GRMN,2006-08-16 09:30:00,2.0
GWW,1985-06-10 09:30:00,2.0
GWW,1991-06-10 09:30:00,2.0
